[WARNING] 2026-03-19 12:21:45,497 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 18:40:55,456 django.server "OPTIONS /api/admin/login/ HTTP/1.1" 200 0
[INFO] 2026-03-19 18:40:57,418 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 18:41:00,012 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[INFO] 2026-03-19 18:41:00,013 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[WARNING] 2026-03-19 18:41:00,076 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:00,103 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:17,384 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:17,403 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 18:41:27,081 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 18:41:30,506 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:30,550 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:54,430 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:54,456 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 18:54:42,937 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 18:54:45,141 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 18:54:45,160 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 18:55:48,355 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 18:55:48,373 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 18:56:03,912 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 18:56:07,172 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 18:56:07,190 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 18:56:14,503 django.server "OPTIONS /api/admin/employee/ HTTP/1.1" 200 0
[INFO] 2026-03-19 18:56:14,586 django.server "POST /api/admin/employee/ HTTP/1.1" 201 184
[INFO] 2026-03-19 18:56:14,634 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:57:51,573 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:57:51,592 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:58:49,017 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 18:58:51,583 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:58:51,627 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:59:21,360 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 18:59:23,603 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:59:23,627 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 236
[INFO] 2026-03-19 18:59:36,561 django.server "OPTIONS /api/admin/employee/1/ HTTP/1.1" 200 0
[INFO] 2026-03-19 18:59:36,598 django.server "PUT /api/admin/employee/1/ HTTP/1.1" 200 193
[INFO] 2026-03-19 18:59:53,058 django.server "PUT /api/admin/employee/1/ HTTP/1.1" 200 193
[INFO] 2026-03-19 19:01:05,474 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 245
[INFO] 2026-03-19 19:01:05,492 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 245
[INFO] 2026-03-19 19:01:14,248 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 19:01:17,121 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 245
[INFO] 2026-03-19 19:01:17,150 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 245
[INFO] 2026-03-19 19:01:26,082 django.server "PUT /api/admin/employee/1/ HTTP/1.1" 200 195
[INFO] 2026-03-19 19:02:04,183 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:02:04,213 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:02:08,437 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 19:05:55,007 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:05:55,032 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:06:12,288 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:06:12,306 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:06:50,423 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 19:06:55,127 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:06:55,150 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 247
[INFO] 2026-03-19 19:07:11,164 django.server "POST /api/admin/employee/ HTTP/1.1" 201 189
[INFO] 2026-03-19 19:07:11,240 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 437
[INFO] 2026-03-19 19:09:54,340 django.server "PUT /api/admin/employee/1/ HTTP/1.1" 200 197
[INFO] 2026-03-19 19:10:02,441 django.server "OPTIONS /api/admin/employee/2/ HTTP/1.1" 200 0
[INFO] 2026-03-19 19:10:02,493 django.server "PUT /api/admin/employee/2/ HTTP/1.1" 200 197
[INFO] 2026-03-19 19:10:16,721 django.server "POST /api/admin/employee/ HTTP/1.1" 201 189
[INFO] 2026-03-19 19:10:16,775 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 637
[INFO] 2026-03-19 19:10:25,630 django.server "OPTIONS /api/admin/employee/3/ HTTP/1.1" 200 0
[INFO] 2026-03-19 19:10:25,687 django.server "PUT /api/admin/employee/3/ HTTP/1.1" 200 197
[INFO] 2026-03-19 19:11:19,310 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 19:11:19,330 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:28:07,755 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 20:28:14,439 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:28:14,455 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:28:58,165 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:28:58,186 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:29:05,888 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 20:29:08,210 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:29:08,231 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 20:40:38,832 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 20:40:44,924 django.server "OPTIONS /api/admin/customer/?page=1&search= HTTP/1.1" 200 0
[WARNING] 2026-03-19 20:40:44,999 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:40:45,032 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[INFO] 2026-03-19 20:41:23,278 django.server "OPTIONS /api/admin/customer/ HTTP/1.1" 200 0
[WARNING] 2026-03-19 20:41:23,309 django.server "POST /api/admin/customer/ HTTP/1.1" 404 2911
[WARNING] 2026-03-19 20:42:07,698 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:42:07,724 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
